,winner,loser,score,season,date
0,Rogozin Anton,Niyazov Zarrux,6-3 6-3,Tashkent Masters League,2024-06-01
1,Razzakov Alisher,Vohidov Nodir,6-3 6-3,Tashkent Masters League,2024-06-02
2,Razzakov Alisher,Rogozin Anton,7-5 6-2,Tashkent Masters League,2024-06-03
3,Musadjanov Hatam,Vohidov Nodir,7-5 6-4,Tashkent Masters League,2024-06-04
4,Rogozin Anton,Kamilov Baxriddin,6-3 6-3,Tashkent Masters League,2024-06-04
5,Shamuratov Farrukh,Zakharchenko Petro,7-5 6-1,Tashkent Masters League,2024-06-04
6,Niyazov Zarrux,Bukharov Ulugbek,6-3 3-6 6-1,Tashkent Masters League,2024-06-04
7,Razzakov Alisher,Malikov Humoyun,6-0 6-4,Tashkent Masters League,2024-06-05
8,Vohidov Nodir,Kamilov Baxriddin,3-6 6-2 6-4,Tashkent Masters League,2024-06-06
9,Rogozin Anton,Musadjanov Hatam,6-3 6-1,Tashkent Masters League,2024-06-06
10,Musadjanov Hatam,Malikov Humoyun,6-4 7-6,Tashkent Masters League,2024-06-06
11,Ruziev Davron,Shamuratov Farrukh,4-6 6-3 6-2,Tashkent Masters League,2024-06-06
12,Razzakov Alisher,Bukharov Ulugbek,6-2 6-2,Tashkent Masters League,2024-06-07
13,Shamuratov Farrukh,Logvis Kirill,6-2 6-7 (7/5) 7-6 (10/8),Tashkent Masters League,2024-06-09
14,Musadjanov Hatam,Kamilov Baxriddin,6-3 6-3,Tashkent Masters League,2024-06-11
15,Vohidov Nodir,Niyazov Zarrux,6-3 7-6 (7/3),Tashkent Masters League,2024-06-11
16,Rogozin Anton,Malikov Humoyun,6-2 2-6 6-4,Tashkent Masters League,2024-06-11
17,Rogozin Anton,Vohidov Nodir,2-6 6-3 6-2,Tashkent Masters League,2024-06-13
18,Bukharov Ulugbek,Kamilov Baxriddin,6-0 7-6 (7/3),Tashkent Masters League,2024-06-13
19,Razzakov Alisher,Kamilov Baxriddin,6-2 6-1,Tashkent Masters League,2024-06-14
20,Musadjanov Hatam,Bukharov Ulugbek,6-2 6-1,Tashkent Masters League,2024-06-14
21,Musadjanov Hatam,Razzakov Alisher,2-6 6-2 6-2,Tashkent Masters League,2024-06-14
22,Shamuratov Farrukh,Magomedov Arsen,6-1 6-4,Tashkent Masters League,2024-06-14
23,Tadjiev Khamdam,Magomedov Arsen,5-7 7-5 [10/6],Tashkent Masters League,2024-06-14
24,Musadjanov Hatam,Niyazov Zarrux,2-6 6-4 [10/4],Tashkent Masters League,2024-06-15
25,Shamuratov Farrukh,Xaleulin Ruslan,6-1 1-6 [10/8],Tashkent Masters League,2024-06-19
26,Malikov Humoyun,Bukharov Ulugbek,6-3 6-2,Tashkent Masters League,2024-06-25
27,Rogozin Anton,Bukharov Ulugbek,6-3 6-1,Tashkent Masters League,2024-06-25
28,Malikov Humoyun,Vohidov Nodir,3-6 6-3 6-4,Tashkent Masters League,2024-06-26
29,Vohidov Nodir,Bukharov Ulugbek,7-5 6-4,Tashkent Masters League,2024-06-28
30,Musadjanov Hatam,Malikov Humoyun,6-3 4-6 6-4,Tashkent Masters League. Season 2,2024-07-01
31,Kamilov Baxriddin,Kan Maksim,6-0 7-5,Tashkent Masters League. Season 2,2024-07-02
32,Rogozin Anton,Shamuratov Farrukh,6-3 6-3,Tashkent Masters League. Season 2,2024-07-02
33,Kan Maksim,Niyazov Shoxrux,4-6 6-4 [12/10],Tashkent Masters League. Season 2,2024-07-02
34,Shamuratov Farrukh,Musadjanov Hatam,6-4 7-5,Tashkent Masters League. Season 2,2024-07-03
35,Kamilov Baxriddin,Lim Mikhail,6-7 6-3 [10/3],Tashkent Masters League. Season 2,2024-07-04
36,Ashurmatov Bakhtiyor,Ahrarov Izzat,7-5 6-4,Tashkent Masters League. Season 2,2024-07-04
37,Rogozin Anton,Malikov Humoyun,6-3 6-2,Tashkent Masters League. Season 2,2024-07-04
38,Abduraimov Vladimir,Niyazov Shoxrux,6-2 6-3,Tashkent Masters League. Season 2,2024-07-04
39,Rogozin Anton,Ruziev Davron,6-2 7-5,Tashkent Masters League. Season 2,2024-07-05
40,Ashurmatov Bakhtiyor,Logvis Kirill,3-6 (11/9) 6-3 [11/9],Tashkent Masters League. Season 2,2024-07-07
41,Kamilov Baxriddin,Abduraimov Vladimir,6-1 4-6 [7/1],Tashkent Masters League. Season 2,2024-07-09
42,Logvis Kirill,Tadjiev Khamdam,6-1 6-1,Tashkent Masters League. Season 2,2024-07-09
43,Razzakov Alisher,Shamuratov Farrukh,6-3 3-6 6-1,Tashkent Masters League. Season 2,2024-07-10
44,Razzakov Alisher,Musadjanov Hatam,6-4 6-1,Tashkent Masters League. Season 2,2024-07-10
45,Razzakov Alisher,Malikov Humoyun,6-2 6-2,Tashkent Masters League. Season 2,2024-07-11
46,Shamuratov Farrukh,Bukharov Ulugbek,3-6 6-4 [10/8],Tashkent Masters League. Season 2,2024-07-11
47,Razzakov Alisher,Vohidov Nodir,6-3 6-2,Tashkent Masters League. Season 2,2024-07-12
48,Kamilov Baxriddin,Ashurmatov Bakhtiyor,4-6 6-3 [10/4],Tashkent Masters League. Season 2,2024-07-12
49,Logvis Kirill,Abduraimov Vladimir,6-4 6-3,Tashkent Masters League. Season 2,2024-07-13
50,Musadjanov Hatam,Vohidov Nodir,6-0 6-1,Tashkent Masters League. Season 2,2024-07-13
51,Musadjanov Hatam,Ruziev Davron,7-5 6-3,Tashkent Masters League. Season 2,2024-07-15
52,Ruziev Davron,Malikov Humoyun,6-4 4-6 6-4,Tashkent Masters League. Season 2,2024-07-16
53,Malikov Humoyun,Shamuratov Farrukh,3-6 6-3 6-4,Tashkent Masters League. Season 2,2024-07-17
54,Niyazov Zarrux,Malikov Humoyun,6-7 (3/7) 6-4 [10/5],Tashkent Masters League. Season 2,2024-07-18
55,Kan Maksim,Abduraimov Vladimir,6-3 6-4,Tashkent Masters League. Season 2,2024-07-19
56,Ashurmatov Bakhtiyor,Kan Maksim,6-4 6-2,Tashkent Masters League. Season 2,2024-07-20
57,Logvis Kirill,Kamilov Baxriddin,6-0 6-3,Tashkent Masters League. Season 2,2024-07-21
58,Ashurmatov Bakhtiyor,Abduraimov Vladimir,6-1 6-7 [10/6],Tashkent Masters League. Season 2,2024-07-21
59,Ashurmatov Bakhtiyor,Tadjiev Khamdam,6-1 6-3,Tashkent Masters League. Season 2,2024-07-21
60,Ahrarov Izzat,Kamilov Baxriddin,6-2 2-6 6-1,Tashkent Masters League. Season 2,2024-07-23
61,Ahrarov Izzat,Abduraimov Vladimir,7-6 7-5,Tashkent Masters League. Season 2,2024-07-23
62,Rogozin Anton,Niyazov Zarrux,4-6 7-6 (7/1) [10/2],Tashkent Masters League. Season 2,2024-07-23
63,Ahrarov Izzat,Kan Maksim,6-3 1-6 6-0,Tashkent Masters League. Season 2,2024-07-25
64,Rogozin Anton,Vohidov Nodir,6-2 6-3,Tashkent Masters League. Season 2,2024-07-25
65,Niyazov Zarrux,Bukharov Ulugbek,6-3 7-6 (7/2),Tashkent Masters League. Season 2,2024-07-25
66,Logvis Kirill,Kan Maksim,6-3 6-3,Tashkent Masters League. Season 2,2024-07-27
67,Ahrarov Izzat,Tadjiev Khamdam,4-6 6-4 6-3,Tashkent Masters League. Season 2,2024-07-30
68,Rogozin Anton,Musadjanov Hatam,7-5 3-6 [10/6],Tashkent Masters League. Season 2,2024-07-30
69,Niyazov Zarrux,Musadjanov Hatam,6-3 1-6 6-1,Tashkent Masters League. Season 2,2024-07-30
70,Khikmatov Shukhrat,Medvedev Vladimir,8-6,Tashkent Open League,2024-08-01
71,Maxamedkasimov Rustam,Rashidov Amirkhan,7-6 (8/6) 6-7 (4/7) [7/2],Tashkent Masters League. Season 3,2024-08-01
72,Abduraimov Vladimir,Bukharov Ulugbek,7-6 6-2,Tashkent Masters League. Season 3,2024-08-01
73,Rogozin Anton,Ahrarov Izzat,6-1 6-4,Tashkent Masters League. Season 3,2024-08-01
74,Fetisov Artem,Medvedev Vladimir,8-4,Tashkent Open League,2024-08-02
75,Rogozin Anton,Kamilov Baxriddin,6-0 6-3,Tashkent Masters League. Season 3,2024-08-03
76,Zakharchenko Petro,Levtsov Sergei,6-1 6-2,Tashkent Masters League. Season 3,2024-08-03
77,Nazarov Sarvar,Wao Sasha,8-3,Tashkent Open League,2024-08-03
78,Rogozin Anton,Logvis Kirill,6-4 6-4,Tashkent Masters League. Season 3,2024-08-04
79,Fetisov Artem,Khikmatov Shukhrat,8-2,Tashkent Open League,2024-08-05
80,Rogozin Anton,Ashurmatov Bakhtiyor,6-2 6-3,Tashkent Masters League. Season 3,2024-08-06
81,Tadjiev Khamdam,Levtsov Sergei,6-0 6-3,Tashkent Masters League. Season 3,2024-08-06
82,Maxamedkasimov Rustam,Alimatov Burxon,7-5 6-3,Tashkent Masters League. Season 3,2024-08-06
83,Khikmatov Shukhrat,Turabov Anvar,8-6,Tashkent Open League,2024-08-06
84,Sadibekov Bulat,Nazarov Sarvar,8-3,Tashkent Open League,2024-08-06
85,Nazarov Sarvar,Khikmatov Shukhrat,9-7,Tashkent Open League,2024-08-06
86,Khikmatov Shukhrat,Sadibekov Bulat,8-5,Tashkent Open League,2024-08-06
87,Abduraimov Vladimir,Levtsov Sergei,6-0 6-0,Tashkent Masters League. Season 3,2024-08-07
88,Khikmatov Shukhrat,Wao Sasha,8-1,Tashkent Open League,2024-08-08
89,Ashurmatov Bakhtiyor,Ahrarov Izzat,2-6 6-3 7-5,Tashkent Masters League. Season 3,2024-08-08
90,Ibragimov Murod,Kamilov Baxriddin,6-2 6-2,Tashkent Masters League. Season 3,2024-08-08
91,Abduraimov Vladimir,Alimatov Burxon,6-1 6-3,Tashkent Masters League. Season 3,2024-08-08
92,Rashidov Amirkhan,Levtsov Sergei,6-3 7-5,Tashkent Masters League. Season 3,2024-08-08
93,Ahrarov Izzat,Ibragimov Murod,3-6 6-2 [10/5],Tashkent Masters League. Season 3,2024-08-09
94,Rashidov Amirkhan,Magomedov Arsen,2-6 7-5 [10/6],Tashkent Masters League. Season 3,2024-08-13
95,Rogozin Anton,Ibragimov Murod,6-2 6-1,Tashkent Masters League. Season 3,2024-08-13
96,Sharopov Alisher,Maxamedkasimov Rustam,6-1 6-1,Tashkent Masters League. Season 3,2024-08-13
97,Sadibekov Bulat,Turabov Anvar,8-5,Tashkent Open League,2024-08-14
98,Rashidov Amirkhan,Tadjiev Khamdam,7-5 7-5,Tashkent Masters League. Season 3,2024-08-15
99,Rogozin Anton,Niyazov Zarrux,4-6 6-3 6-3,Tashkent Masters League. Season 3,2024-08-15
100,Nazarov Sarvar,Turabov Anvar,8-3,Tashkent Open League,2024-08-15
101,Sadibekov Bulat,Wao Sasha,9-7,Tashkent Open League,2024-08-15
102,Maxamedkasimov Rustam,Levtsov Sergei,6-1 6-0,Tashkent Masters League. Season 3,2024-08-15
103,Abduraimov Vladimir,Sharopov Alisher,7-5 4-4,Tashkent Masters League. Season 3,2024-08-15
104,Karimkhodjaev Abdulaziz,Wao Sasha,8-1,Tashkent Open League,2024-08-15
105,Saydullaev Khikmatulla,Ashurmatov Bakhtiyor,5-7 6-4 [10/8],Tashkent Masters League. Season 3,2024-08-16
106,Rogozin Anton,Razzakov Alisher,6-2 6-3,Tashkent Masters League. Season 3,2024-08-16
107,Sadibekov Bulat,Mirkhamidov Mirkomil,8-4,Tashkent Open League,2024-08-18
108,Abduraimov Vladimir,Rashidov Amirkhan,6-2 7-6 (7/5),Tashkent Masters League. Season 3,2024-08-18
109,Medvedev Vladimir,Karimov Mardonbek,9-8 (7/2),Tashkent Open League,2024-08-19
110,Medvedev Vladimir,Karimkhodjaev Abdulaziz,9-8 (7/3),Tashkent Open League,2024-08-20
111,Ashurmatov Bakhtiyor,Kamilov Baxriddin,6-3 0-6 6-2,Tashkent Masters League. Season 3,2024-08-21
112,Karimkhodjaev Abdulaziz,Nazarov Sarvar,8-2,Tashkent Open League,2024-08-22
113,Abduraimov Vladimir,Tadjiev Khamdam,6-1 6-7 [10/3],Tashkent Masters League. Season 3,2024-08-23
114,Wao Sasha,Turabov Anvar,8-6,Tashkent Open League,2024-08-23
115,Zakharchenko Petro,Maxamedkasimov Rustam,6-3 6-3,Tashkent Masters League. Season 3,2024-08-24
116,Khikmatov Shukhrat,Mirkhamidov Mirkomil,8-4,Tashkent Open League,2024-08-24
117,Medvedev Vladimir,Wao Sasha,8-5,Tashkent Open League,2024-08-25
118,Ashurmatov Bakhtiyor,Ibragimov Murod,7-6 0-6 6-4,Tashkent Masters League. Season 3,2024-08-26
119,Alimatov Burxon,Rashidov Amirkhan,6-3 7-5,Tashkent Masters League. Season 3,2024-08-27
120,Medvedev Vladimir,Sadibekov Bulat,8-7 (7/4),Tashkent Open League,2024-08-27
121,Maxamedkasimov Rustam,Abduraimov Vladimir,6-4 6-4,Tashkent Masters League. Season 3,2024-08-27
122,Malikov Humoyun,Kamilov Baxriddin,6-1 3-6 6-2,Tashkent Masters League. Season 3,2024-08-27
123,Razzakov Alisher,Ibragimov Murod,6-0 6-0,Tashkent Masters League. Season 3,2024-08-27
124,Ashurmatov Bakhtiyor,Malikov Humoyun,6-3 7-6,Tashkent Masters League. Season 3,2024-08-28
125,Tadjiev Khamdam,Maxamedkasimov Rustam,4-6 (10/3) 7-5,Tashkent Masters League. Season 3,2024-08-31
126,Zakharchenko Petro,Tadjiev Khamdam,6-4 3-6 [10/8],Tashkent Masters League. Season 3,2024-08-31
127,Razzakov Alisher,Ashurmatov Bakhtiyor,6-4 6-2,Tashkent Masters League. Season 3,2024-09-01
128,Razzakov Alisher,Kamilov Baxriddin,6-1 6-0,Tashkent Masters League. Season 3,2024-09-02
129,Rashidov Amirkhan,Bukharov Ulugbek,6-1 6-0,Tashkent Masters League. Season 3,2024-09-02
130,Razzakov Alisher,Niyazov Zarrux,6-2 6-1,Tashkent Masters League. Season 3,2024-09-03
131,Niyazov Zarrux,Kamilov Baxriddin,6-3 6-1,Tashkent Masters League. Season 3,2024-09-03
132,Fetisov Artem,Sadibekov Bulat,8-5,Tashkent Open League,2024-09-07
133,Malikov Humoyun,Ahrarov Izzat,6-4 5-7 6-3,Tashkent Masters League. Season 3,2024-09-10
134,Medvedev Vladimir,Turabov Anvar,9-8 (8/6),Tashkent Open League,2024-09-10
135,Alimatov Burxon,Levtsov Sergei,6-3 6-1,Tashkent Masters League. Season 3,2024-09-11
136,Rogozin Anton,Malikov Humoyun,6-1 6-4,Tashkent Masters League. Season 3,2024-09-11
137,Razzakov Alisher,Ahrarov Izzat,6-1 6-0,Tashkent Masters League. Season 3,2024-09-11
138,Fetisov Artem,Wao Sasha,8-5,Tashkent Open League,2024-09-11
139,Nazarov Sarvar,Medvedev Vladimir,8-3,Tashkent Open League,2024-09-11
140,Nazarov Sarvar,Fetisov Artem,8-5,Tashkent Open League,2024-09-12
141,Zakharchenko Petro,Rashidov Amirkhan,6-3,Tashkent Masters League. Season 3,2024-09-13
142,Turabov Anvar,Fetisov Artem,8-3,Tashkent Open League,2024-09-15
143,Pankratov Vladimir,Khidoyatov Takhir,8-6,Tashkent Open League. Season 2,2024-09-16
144,Medvedev Vladimir,Nazarov Sarvar,9-8,Tashkent Open League. Season 2,2024-09-17
145,Khidoyatov Takhir,Azimov Bobur,8-1 8-7,Tashkent Open League. Season 2,2024-09-18
146,Ochildiyev Husniddin,Wao Sasha,8-2,Tashkent Open League. Season 2,2024-09-19
147,Medvedev Vladimir,Fetisov Artem,8-6,Tashkent Open League. Season 2,2024-09-19
148,Pankratov Vladimir,Azimov Bobur,8-6,Tashkent Open League. Season 2,2024-09-20
149,Medvedev Vladimir,Sadibekov Bulat,8-2,Tashkent Open League. Season 2,2024-09-21
150,Levtsov Sergei,Medvedev Vladimir,8-4,Tashkent Open League. Season 2,2024-09-21
151,Ochildiyev Husniddin,Zuhirxojaev Nuriddin,8-1,Tashkent Open League. Season 2,2024-09-22
152,Levtsov Sergei,Khikmatov Shukhrat,8-6,Tashkent Open League. Season 2,2024-09-22
153,Pankratov Vladimir,Zuhirxojaev Nuriddin,8-1,Tashkent Open League. Season 2,2024-09-23
154,Ibragimov Murod,Rashidov Amirkhan,6-1 6-0,Tashkent Masters League. Season 4,2024-09-23
155,Ibragimov Murod,Kamilov Baxriddin,6-4 6-4,Tashkent Masters League. Season 4,2024-09-24
156,Tulanov Temur,Fetisov Artem,8-6,Tashkent Open League. Season 2,2024-09-24
157,Khikmatov Shukhrat,Nazarov Sarvar,8-6,Tashkent Open League. Season 2,2024-09-24
158,Kadirov Bakhrom,Kim Radion,6-3 7-5,Tashkent Masters League. Season 4,2024-09-24
159,Fetisov Artem,Sadibekov Bulat,8-2,Tashkent Open League. Season 2,2024-09-24
160,Fetisov Artem,Khikmatov Shukhrat,8-7,Tashkent Open League. Season 2,2024-09-24
161,Fetisov Artem,Nazarov Sarvar,8-2,Tashkent Open League. Season 2,2024-09-24
162,Isaboev Sarvar,Sultanov Jamoliddin,3-6 6-3 6-4,Tashkent Masters League. Season 4,2024-09-25
163,Sadibekov Bulat,Nazarov Sarvar,8-5,Tashkent Open League. Season 2,2024-09-26
164,Khikmatov Shukhrat,Medvedev Vladimir,9-7,Tashkent Open League. Season 2,2024-09-26
165,Ochildiyev Husniddin,Pankratov Vladimir,8-6,Tashkent Open League. Season 2,2024-09-26
166,Nuriddinov Jaxongir,Kim Radion,6-3 7-5,Tashkent Masters League. Season 4,2024-09-26
167,Muminov Bahtiyar,Ahrarov Izzat,6-2 6-3,Tashkent Masters League. Season 4,2024-09-26
168,Khidoyatov Takhir,Khoroshaev Ivan,8-2,Tashkent Open League. Season 2,2024-09-26
169,Vohidov Nodir,Ibragimov Murod,7-5 7-6 (7/4),Tashkent Masters League. Season 4,2024-09-27
170,Kamilov Baxriddin,Alimatov Burxon,6-4 6-1,Tashkent Masters League. Season 4,2024-09-27
171,Ibragimov Murod,Tadjiev Khamdam,6-4 6-4,Tashkent Masters League. Season 4,2024-09-28
172,Isaboev Sarvar,Kim Radion,6-1 4-6 6-3,Tashkent Masters League. Season 4,2024-09-28
173,Shirinov Jahon,Matkurbanov Bahtiyor,6-0 6-1,Tashkent Masters League. Season 4,2024-09-28
174,Pankratov Vladimir,Khoroshaev Ivan,8-6,Tashkent Open League. Season 2,2024-09-29
175,Wao Sasha,Pankratov Vladimir,8-3,Tashkent Open League. Season 2,2024-09-30
176,Levtsov Sergei,Sadibekov Bulat,8-4,Tashkent Open League. Season 2,2024-10-01
177,Rogozin Anton,Ashurmatov Bakhtiyor,7-5 6-4,Tashkent Masters League. Season 4,2024-10-01
178,Turabov Anvar,Ochildiyev Husniddin,8-3,Tashkent Open League. Season 2,2024-10-01
179,Pak Igor,Khikmatov Shukhrat,8-4,Tashkent Open League. Season 2,2024-10-01
180,Khikmatov Shukhrat,Tulanov Temur,8-6,Tashkent Open League. Season 2,2024-10-01
181,Tulanov Temur,Sadibekov Bulat,9-7,Tashkent Open League. Season 2,2024-10-01
