,winner,loser,score,season,date
319,Razzakov Alisher,Musadjanov Hatam,6-4 7-6,Masters League Season 1/2025,2025-04-20
320,Ochildiyev Husniddin,Dosmatov Iskandar,6-1 6-1,Masters League Season 1/2025,2025-04-20
321,Abduvakhidov Alisher,Akhtamov Farrukh,2-6 6-3 6-3,Masters League Season 1/2025,2025-04-20
322,Rogozin Anton,Shamuratov Farrukh,6-1 6-2,Masters League Season 1/2025,2025-04-20
323,Alimatov Burxon,Sultanov Jamoliddin,6-2 6-3,Masters League Season 1/2025,2025-04-21
324,Mirzoev Suren,Karimov Islombek,6-1 6-3,Masters League Season 1/2025,2025-04-21
325,Larionov Svyatoslav,Musadjanov Hatam,6-4 6-3,Masters League Season 1/2025,2025-04-21
326,Musadjanov Hatam,Vohidov Nodir,6-3 6-1,Masters League Season 1/2025,2025-04-22
327,Razzakov Alisher,Rogozin Anton,7-5 7-5,Masters League Season 1/2025,2025-04-22
328,Shamuratov Farrukh,Kamilov Baxriddin,6-3 1-6 [11/9],Masters League Season 1/2025,2025-04-22
329,Khidoyatov Takhir,Mirzoev Suren,6-7 (4/7) 6-2 [10/5],Masters League Season 1/2025,2025-04-22
330,Beknazarov Botirbek,Razzoqov Davron,6-4 6-3,Masters League Season 1/2025,2025-04-22
331,Rashidov Amirkhan,Sultanov Jamoliddin,6-3 6-1,Masters League Season 1/2025,2025-04-23
332,Razzakov Alisher,Shamuratov Farrukh,6-0 7-5,Masters League Season 1/2025,2025-04-23
333,Mirzoev Suren,Ochildiyev Husniddin,6-4 6-4,Masters League Season 1/2025,2025-04-23
334,Khidoyatov Takhir,Karimov Islombek,6-3 6-3,Masters League Season 1/2025,2025-04-23
335,Alimatov Burxon,Pankratov Vladimir,6-1 6-1,Masters League Season 1/2025,2025-04-23
336,Azimov Bobur,Karimov Islombek,6-3 6-4,Masters League Season 1/2025,2025-04-24
337,Isaboev Sarvar,Akhtamov Farrukh,7-6 6-4,Masters League Season 1/2025,2025-04-24
338,Musadjanov Hatam,Malikov Humoyun,6-1 4-6 6-3,Masters League Season 1/2025,2025-04-24
339,Abdullaev Sharof,Dosmatov Iskandar,6-0 6-0,Masters League Season 1/2025,2025-04-24
340,Razzoqov Davron,Fetisov Artem,6-3 7-5,Masters League Season 1/2025,2025-04-24
341,Rashidov Amirkhan,Pankratov Vladimir,6-0 2-6 [10/0],Masters League Season 1/2025,2025-04-25
342,Razzakov Alisher,Vohidov Nodir,6-2 6-1,Masters League Season 1/2025,2025-04-25
343,Khikmatov Shukhrat,Ochildiyev Husniddin,3-6 6-4 [12/10],Masters League Season 1/2025,2025-04-25
344,Nazarov Sarvar,Neklesov Igor,8-0,Open League Season 1/2025,2025-04-25
345,Fetisov Artem,Sadibekov Bulat,6-3 6-1,Masters League Season 1/2025,2025-04-25
346,Alimatov Burxon,Sadibekov Bulat,6-1 6-4,Masters League Season 1/2025,2025-04-25
347,Kadirov Bakhrom,Fetisov Artem,6-2 6-2,Masters League Season 1/2025,2025-04-25
348,Abduvakhidov Alisher,Bukharov Ulugbek,6-1 6-2,Masters League Season 1/2025,2025-04-25
349,Musadjanov Hatam,Kamilov Baxriddin,6-0 6-2,Masters League Season 1/2025,2025-04-26
350,Kadirov Bakhrom,Sadibekov Bulat,6-3 6-0,Masters League Season 1/2025,2025-04-26
351,Beknazarov Botirbek,Fetisov Artem,6-0 6-2,Masters League Season 1/2025,2025-04-26
352,Akhtamov Farrukh,Ahrarov Izzat,6-3 7-5,Masters League Season 1/2025,2025-04-26
353,Shamuratov Farrukh,Musadjanov Hatam,6-4 6-4,Masters League Season 1/2025,2025-04-26
354,Beknazarov Botirbek,Sadibekov Bulat,6-0 6-2,Masters League Season 1/2025,2025-04-26
355,Razzakov Alisher,Larionov Svyatoslav,7-5 7-5,Masters League Season 1/2025,2025-04-27
356,Tadjiev Khamdam,Azimov Bobur,6-2 6-2,Masters League Season 1/2025,2025-04-27
357,Razzoqov Davron,Azimov Bobur,6-2 3-6 6-4,Masters League Season 1/2025,2025-04-28
358,Rogozin Anton,Malikov Humoyun,6-4 6-3,Masters League Season 1/2025,2025-04-28
359,Akhtamov Farrukh,Abduraimov Vladimir,6-3 1-6 6-3,Masters League Season 1/2025,2025-04-29
360,Shirinov Jahon,Kamilov Baxriddin,7-6 (7/5) 7-6 (7/3),Masters League Season 1/2025,2025-04-29
361,Sultanov Jamoliddin,Karimov Mamurbek,6-2 6-2,Masters League Season 1/2025,2025-04-29
362,Pankratov Vladimir,Dosmatov Iskandar,6-3 6-7 (7/9) [10/7],Masters League Season 1/2025,2025-04-30
363,Isaboev Sarvar,Maxamedkasimov Rustam,7-5 3-6 [7/2],Masters League Season 1/2025,2025-04-30
364,Kadirov Bakhrom,Azimov Bobur,6-3 6-3,Masters League Season 1/2025,2025-04-30
365,Sadibekov Bulat,Khikmatov Shukhrat,3-6 6-4 [10/6],Masters League Season 1/2025,2025-04-30
366,Nazarov Sarvar,Choi Alexey,8-0,Open League Season 1/2025,2025-04-30
367,Ochildiyev Husniddin,Fetisov Artem,6-2 5-7 [10/7],Masters League Season 1/2025,2025-05-01
368,Tadjiev Khamdam,Khidoyatov Takhir,6-0 6-3,Masters League Season 1/2025,2025-05-01
369,Malikov Humoyun,Kamilov Baxriddin,6-2 6-4,Masters League Season 1/2025,2025-05-01
370,Fetisov Artem,Karimov Mamurbek,6-3 7-5,Masters League Season 1/2025,2025-05-03
371,Sultanov Jamoliddin,Axmedov Suxrob,6-2 5-7 [10/5],Masters League Season 1/2025,2025-05-03
372,Pankratov Vladimir,Ochildiyev Husniddin,6-1 6-3,Masters League Season 1/2025,2025-05-03
373,Rashidov Amirkhan,Mirzoev Suren,6-4 5-7 [7/1],Masters League Season 1/2025,2025-05-04
374,Ochildiyev Husniddin,Karimov Islombek,6-0 6-1,Masters League Season 1/2025,2025-05-04
375,Sultanov Jamoliddin,Ochildiyev Husniddin,4-6 6-3 [10/6],Masters League Season 1/2025,2025-05-05
376,Pankratov Vladimir,Karimov Mamurbek,3-6 6-4 [10/4],Masters League Season 1/2025,2025-05-05
377,Beknazarov Botirbek,Azimov Bobur,7-6 (7/1) 6-2,Masters League Season 1/2025,2025-05-05
378,Larionov Svyatoslav,Malikov Humoyun,6-2 6-4,Masters League Season 1/2025,2025-05-06
379,Pankratov Vladimir,Karimov Islombek,6-2 6-1,Masters League Season 1/2025,2025-05-06
380,Alimatov Burxon,Azimov Bobur,6-2 7-6 (7/2),Masters League Season 1/2025,2025-05-06
381,Nurmuratov Alisher,Neklesov Igor,8-3,Open League Season 1/2025,2025-05-06
382,Rogozin Anton,Shirinov Jahon,6-1 6-3,Masters League Season 1/2025,2025-05-07
383,Nazarov Sarvar,Khoroshaev Ivan,8-3,Open League Season 1/2025,2025-05-07
384,Fetisov Artem,Khikmatov Shukhrat,6-4 3-6 7-5,Masters League Season 1/2025,2025-05-08
385,Razzoqov Davron,Khidoyatov Takhir,6-7 (5/7) 6-2 [17/15],Masters League Season 1/2025,2025-05-08
386,Neklesov Igor,Hayitov Olimjon,8-2,Open League Season 1/2025,2025-05-09
387,Abdullaev Sharof,Mirzoev Suren,6-3 6-0,Masters League Season 1/2025,2025-05-09
388,Pankratov Vladimir,Khikmatov Shukhrat,3-6 7-6 (7/3) [10/8],Masters League Season 1/2025,2025-05-09
389,Khikmatov Shukhrat,Dosmatov Iskandar,6-2 6-1,Masters League Season 1/2025,2025-05-10
390,Rashidov Amirkhan,Khidoyatov Takhir,6-0 6-0,Masters League Season 1/2025,2025-05-11
391,Sultanov Jamoliddin,Karimov Islombek,4-6 7-5 6-1,Masters League Season 1/2025,2025-05-12
392,Rashidov Amirkhan,Azimov Bobur,6-3 5-7 [10/8],Masters League Season 1/2025,2025-05-13
393,Shirinov Jahon,Malikov Humoyun,1-6 6-3 6-0,Masters League Season 1/2025,2025-05-13
394,Maksudov Temur,Pankratov Vladimir,6-2 6-4,Masters League Season 1/2025,2025-05-14
395,Neklesov Igor,Khoroshaev Ivan,8-6,Open League Season 1/2025,2025-05-14
396,Nazarov Sarvar,Hayitov Olimjon,8-1,Open League Season 1/2025,2025-05-15
397,Dosmatov Iskandar,Sadibekov Bulat,0-6 7-5 [10/8],Masters League Season 1/2025,2025-05-15
398,Alimatov Burxon,Rashidov Amirkhan,6-4 6-4,Masters League Season 1/2025,2025-05-15
399,Razzoqov Davron,Mirzoev Suren,2-6 6-2 [10/2],Masters League Season 1/2025,2025-05-15
400,Shirinov Jahon,Musadjanov Hatam,6-3 2-6 [10/6],Masters League Season 1/2025,2025-05-16
401,Akhtamov Farrukh,Maxamedkasimov Rustam,6-4 3-6 [10/2],Masters League Season 1/2025,2025-05-16
402,Larionov Svyatoslav,Vohidov Nodir,6-2 7-5,Masters League Season 1/2025,2025-05-16
403,Abdullaev Sharof,Alimatov Burxon,6-3 6-1,Masters League Season 1/2025,2025-05-16
404,Razzoqov Davron,Abdullaev Sharof,6-4 6-4,Masters League Season 1/2025,2025-05-17
405,Sadibekov Bulat,Karimov Mamurbek,6-0 7-5,Masters League Season 1/2025,2025-05-17
406,Abdullaev Sharof,Rashidov Amirkhan,6-4 7-6 [7/5],Masters League Season 1/2025,2025-05-18
407,Nurmuratov Alisher,Khoroshaev Ivan,8-2,Open League Season 1/2025,2025-05-19
408,Hayitov Olimjon,Khoroshaev Ivan,8-4,Open League Season 1/2025,2025-05-21
409,Khoroshaev Ivan,Choi Alexey,8-0,Open League Season 1/2025,2025-05-23
410,Sagdullayev Abzal,Savlev Andrey,6-1 7-6 (7/2),Amazing Open Slam,2025-06-01
411,Hayitov Olimjon,Samikov Bobur,7-6 6-1 [7/4],Amazing Open Slam,2025-06-02
412,Akhtamov Farrukh,Shirinov Jahon,6-4 3-6 6-3,Amazing Masters Slam,2025-06-02
413,Medvedev Vladimir,Khikmatov Shukhrat,7-6 6-3,Amazing Masters Slam 3,2025-06-02
414,Ibragimov Murod,Malikov Humoyun,6-1 6-2,Amazing Masters Slam,2025-06-03
415,Larionov Svyatoslav,Vohidov Nodir,4-6 6-2 [10/8],Amazing Masters Slam,2025-06-03
416,Akhmadjonov Olimjon,Karimov Mamurbek,6-2 6-0,Amazing Masters Slam 3,2025-06-03
417,Nazarov Sarvar,Mavlyutov Kamil,6-0 6-3,Amazing Masters Slam 3,2025-06-03
418,Musadjanov Hatam,Razzakov Alisher,4-6 4-6,Amazing Masters Slam,2025-06-03
419,Rogozin Anton,Abduvakhidov Alisher,7-5 6-4,Amazing Masters Slam,2025-06-04
420,Ashurmatov Bakhtiyor,Boboev Khojiakbarkhuja,6-2 6-2,Amazing Masters Slam 2,2025-06-04
421,Fetisov Artem,Mirzoev Suren,7-5 7-5,Amazing Masters Slam 3,2025-06-04
422,Pankratov Vladimir,Karimkhodjaev Abdulaziz,7-6 (7/4) 6-1,Amazing Masters Slam 3,2025-06-04
423,Niyazov Zarrux,Kan Maksim,7-5 6-3,Amazing Masters Slam,2025-06-04
424,Bakhromov Iskandar,Zaretski Kir,6-3 6-2,Amazing Open Slam,2025-06-04
425,Azimov Bobur,Sadibekov Bulat,1-6 6-3 6-2,Amazing Masters Slam 3,2025-06-05
426,Payziev Bakhtiyor,Razzoqov Davron,6-3 2-6 [10/4],Amazing Masters Slam 2,2025-06-05
427,Juraev Mirazim,Abdurakhmanov Boburkhan,6-3 6-3,Amazing Masters Slam 3,2025-06-06
428,Maxamedkasimov Rustam,Ten Maxim,6-4 6-1,Amazing Masters Slam 2,2025-06-06
429,Abdirasulov Abbos,Isaboev Sarvar,4-6 6-3 [10/6],Amazing Masters Slam,2025-06-06
430,Pak Igor,Nuriddinov Jaxongir,7-6 7-5,Amazing Masters Slam 2,2025-06-07
431,Rogozin Anton,Abdirasulov Abbos,6-1 6-1,Amazing Masters Slam,2025-06-09
432,Ahrarov Izzat,Kadirov Bakhrom,3-6 6-4 [10/5],Amazing Masters Slam 2,2025-06-09
433,Kamilov Baxriddin,Akhtamov Farrukh,6-2 6-1,Amazing Masters Slam,2025-06-09
434,Raimov Bakhodir,Nazarov Sarvar,7-5 6-3,Amazing Masters Slam 3,2025-06-09
435,Azimov Bobur,Juraev Mirazim,7-6 7-6,Amazing Masters Slam 3,2025-06-10
436,Lim Mikhail,Niyazov Shoxrux,7-5 4-6 [10/6],Amazing Masters Slam 2,2025-06-10
437,Maxamedkasimov Rustam,Payziev Bakhtiyor,6-4 6-2,Amazing Masters Slam 2,2025-06-10
438,Khikmatov Shukhrat,Karimkhodjaev Abdulaziz,6-4 6-0,Amazing Masters Slam 3,2025-06-11
439,Kan Maksim,Vohidov Nodir,6-4 6-2,Amazing Masters Slam,2025-06-11
440,Sadibekov Bulat,Abdurakhmanov Boburkhan,6-2 6-4,Amazing Masters Slam 3,2025-06-11
441,Malikov Humoyun,Musadjanov Hatam,6-2 7-6 (7/4),Amazing Masters Slam,2025-06-11
442,Fetisov Artem,Akhmadjonov Olimjon,6-4 6-4,Amazing Masters Slam 3,2025-06-11
443,Pankratov Vladimir,Medvedev Vladimir,6-4 2-6 5-4,Amazing Masters Slam 3,2025-06-12
444,Bukharov Ulugbek,Pak Igor,6-1 6-1,Amazing Masters Slam 2,2025-06-12
445,Razzoqov Davron,Ten Maxim,6-2 6-4,Amazing Masters Slam 2,2025-06-12
